שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
כפר סירקין,249,KEFAR SIRKIN,4,42,422.0,20.0,142.0,1.0,1495.0,1495.0,1481.0,,1936,310,,1930066489.0,36.0,417.0,10002116.0,2018,Kefar Sirkin,
כפר עבודה,875,KEFAR AVODA,4,41,411.0,18.0,141.0,1.0,238.0,236.0,236.0,2.0,1942,340,,1946168478.0,67.0,412.0,15000060.0,2018,Kefar Avoda,
כפר עזה,845,KEFAR AZZA,6,61,614.0,37.0,,1.0,704.0,703.0,685.0,1.0,1951,330,15.0,1555559925.0,79.0,651.0,10001829.0,2018,Kefar Azza,620.0
כפר עציון,3488,KEFAR EZYON,7,76,,76.0,445.0,1.0,1152.0,1112.0,1112.0,40.0,1967,330,3.0,2110361745.0,883.0,714.0,15000586.0,2018,Kefar Ezyon,
כפר פינס,189,KEFAR PINES,3,32,324.0,14.0,,1.0,1020.0,1020.0,1020.0,,1933,310,2.0,2004671000.0,50.0,351.0,10004261.0,2018,Kefar Pines,
כפר קאסם,634,KAFAR QASEM,4,42,422.0,0.0,142.0,2.0,23241.0,36.0,10.0,23205.0,,260,,1976966909.0,30.0,451.0,15000658.0,2018,Kafar Qasem,410.0
כפר קיש,388,KEFAR KISCH,2,22,222.0,3.0,,1.0,592.0,582.0,575.0,10.0,1946,310,1.0,2424073029.0,58.0,206.0,10004394.0,2018,Kefar Kisch,214.0
כפר קרע,654,KAFAR QARA,3,32,323.0,99.0,,2.0,18675.0,26.0,6.0,18649.0,,270,,2050971240.0,70.0,354.0,10004233.0,2018,Kafar Qara,
כפר ראש הנקרה,579,KEFAR ROSH HANIQRA,2,24,245.0,4.0,,1.0,1365.0,1361.0,1341.0,4.0,1949,330,15.0,2109877677.0,-2.0,201.0,10004302.0,2018,Kefar Rosh HaNiqra,212.0
כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,24,244.0,52.0,,1.0,262.0,262.0,262.0,,1967,310,1.0,2272977831.0,516.0,255.0,10004302.0,2018,Kefar Rozenwald(Zarit),212.0
כפר רופין,295,KEFAR RUPPIN,2,23,231.0,7.0,,1.0,493.0,493.0,485.0,,1938,330,15.0,2525770713.0,-251.0,202.0,10004568.0,2018,Kefar Ruppin,214.0
כפר רות,1166,KEFAR RUT,4,43,431.0,25.0,142.0,1.0,252.0,252.0,240.0,,1977,310,1.0,2030464639.0,268.0,424.0,10002277.0,2018,Kefar Rut,
כפר שמאי,605,KEFAR SHAMMAY,2,21,212.0,2.0,,1.0,531.0,531.0,531.0,,1949,310,2.0,2430876244.0,600.0,209.0,10004528.0,2018,Kefar Shammay,211.0
כפר שמואל,743,KEFAR SHEMU'EL,4,43,432.0,30.0,143.0,1.0,933.0,933.0,921.0,,1950,310,6.0,1937164417.0,90.0,426.0,10002228.0,2018,Kefar Shemu'el,
כפר שמריהו,267,KEFAR SHEMARYAHU,5,51,511.0,99.0,121.0,1.0,1891.0,1881.0,1816.0,10.0,1937,350,,1833067703.0,24.0,504.0,10001605.0,2018,Kefar Shemaryahu,
כפר תבור,47,KEFAR TAVOR,2,22,222.0,99.0,,1.0,4262.0,4249.0,4155.0,13.0,1901,190,,2397273250.0,20.0,251.0,10004394.0,2018,Kefar Tavor,214.0
כפר תפוח,3572,KEFAR TAPPUAH,7,73,,72.0,,1.0,1238.0,1238.0,1238.0,,1978,370,2.0,2237366944.0,608.0,710.0,10003262.0,2018,Kefar Tappuah,
כרכום,1285,KARKOM,2,21,213.0,55.0,,1.0,528.0,528.0,523.0,,1988,370,13.0,2571975949.0,54.0,253.0,10004540.0,2018,Karkom,211.0
כרם בן זמרה,664,KEREM BEN ZIMRA,2,21,212.0,2.0,,1.0,492.0,492.0,492.0,,1949,310,2.0,2440477148.0,771.0,209.0,10004528.0,2018,Kerem Ben Zimra,211.0
כרם בן שמן,88,KEREM BEN SHEMEN,4,43,432.0,25.0,142.0,1.0,87.0,87.0,87.0,,1958,350,,1938065173.0,74.0,424.0,10002261.0,2018,Kerem Ben Shemen,
כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA),4,44,441.0,29.0,143.0,1.0,496.0,496.0,496.0,,1963,340,,1738163628.0,50.0,456.0,10001821.0,2018,Kerem Yavne(Yeshiva),420.0
"כרם מהר""ל",580,KEREM MAHARAL,3,32,322.0,15.0,243.0,1.0,758.0,748.0,737.0,10.0,1949,310,1.0,1993872799.0,63.0,303.0,10004333.0,2018,Kerem Maharal,
כרם שלום,1085,KEREM SHALOM,6,62,622.0,38.0,,1.0,157.0,147.0,139.0,10.0,1956,330,15.0,1317857105.0,83.0,651.0,10001893.0,2018,Kerem Shalom,620.0
כרמי יוסף,1264,KARME YOSEF,4,43,432.0,30.0,143.0,1.0,1730.0,1730.0,1722.0,,1984,350,,1925563946.0,190.0,426.0,10002228.0,2018,Karme Yosef,
כרמי צור,3766,KARME ZUR,7,77,,76.0,,1.0,1021.0,1021.0,1019.0,,1984,370,2.0,2096161296.0,860.0,714.0,15000586.0,2018,Karme Zur,
כרמי קטיף,1374,KARME KATIF,6,61,612.0,50.0,,1.0,361.0,361.0,361.0,,2016,370,,1917960490.0,308.0,634.0,10001813.0,2018,Karme Katif,
כרמיאל,1139,KARMI'EL,2,24,242.0,0.0,,1.0,46124.0,44617.0,37330.0,1507.0,1964,160,,2276275736.0,69.0,208.0,10004465.0,2018,Karmi'el,210.0
כרמייה,768,KARMIYYA,6,61,614.0,36.0,,1.0,646.0,644.0,620.0,2.0,1950,330,15.0,1565861272.0,25.0,633.0,10001829.0,2018,Karmiyya,
כרמים,1198,KERAMIM,6,62,623.0,41.0,341.0,1.0,485.0,485.0,485.0,,1980,330,15.0,1921858239.0,389.0,625.0,10001937.0,2018,Keramim,620.0
כרמל,3656,KARMEL,7,77,,78.0,,1.0,436.0,436.0,436.0,,1981,320,11.0,2173959328.0,706.0,715.0,15003512.0,2018,Karmel,
לבון,1207,LAVON,2,24,243.0,56.0,,1.0,710.0,710.0,704.0,,1980,350,,2271976075.0,524.0,205.0,15002358.0,2018,Lavon,210.0
לביא,585,LAVI,2,22,222.0,3.0,,1.0,620.0,620.0,620.0,,1949,330,3.0,2417174366.0,278.0,206.0,10004552.0,2018,Lavi,214.0
לבנים,1230,LIVNIM,2,21,214.0,2.0,,1.0,430.0,429.0,418.0,1.0,1982,310,1.0,2466175214.0,-110.0,209.0,10004552.0,2018,Livnim,211.0
להב,2023,LAHAV,6,62,623.0,41.0,341.0,1.0,529.0,528.0,517.0,1.0,1952,330,15.0,1875358757.0,440.0,625.0,10001937.0,2018,Lahav,620.0
להבות הבשן,380,LAHAVOT HABASHAN,2,21,211.0,1.0,,1.0,879.0,877.0,827.0,2.0,1945,330,15.0,2607878299.0,76.0,253.0,10004591.0,2018,Lahavot HaBashan,211.0
להבות חביבה,715,LAHAVOT HAVIVA,3,32,324.0,14.0,,1.0,992.0,992.0,981.0,,1949,330,15.0,2010970013.0,40.0,351.0,15002436.0,2018,Lahavot Haviva,
להבים,1271,LEHAVIM,6,62,623.0,99.0,341.0,1.0,6350.0,6171.0,6048.0,179.0,1985,180,,1822358650.0,267.0,619.0,10001946.0,2018,Lehavim,
לוד,7000,LOD,4,43,432.0,0.0,133.0,4.0,75726.0,52590.0,46488.0,23136.0,1948,150,,1895465097.0,40.0,406.0,10002261.0,2018,Lod,
לוזית,52,LUZIT,1,11,112.0,26.0,,1.0,763.0,761.0,750.0,2.0,1955,310,1.0,1893262158.0,170.0,151.0,15000597.0,2018,Luzit,
לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,24,245.0,4.0,241.0,1.0,685.0,685.0,674.0,,1949,330,15.0,2094776315.0,13.0,201.0,10004302.0,2018,Lohame HaGeta'ot,212.0
לוטם,1171,LOTEM,2,24,242.0,56.0,,1.0,765.0,719.0,711.0,46.0,1978,330,15.0,2338475416.0,262.0,205.0,10004513.0,2018,Lotem,210.0
לוטן,1255,LOTAN,6,62,625.0,53.0,,1.0,200.0,200.0,173.0,,1983,330,15.0,2081943320.0,118.0,608.0,10001955.0,2018,Lotan,
לימן,674,LIMAN,2,24,245.0,4.0,241.0,1.0,691.0,686.0,658.0,5.0,1949,310,1.0,2108977386.0,0.0,201.0,10004302.0,2018,Liman,212.0
לכיש,24,LAKHISH,6,61,612.0,50.0,,1.0,743.0,743.0,739.0,,1955,310,1.0,1850660773.0,219.0,634.0,10001813.0,2018,Lakhish,
לפיד,1310,LAPPID,4,43,431.0,25.0,142.0,1.0,2459.0,2459.0,2435.0,,1996,190,,2032064717.0,238.0,424.0,10002277.0,2018,Lappid,
לפידות,1173,LAPPIDOT,2,24,243.0,52.0,,1.0,116.0,115.0,114.0,1.0,1978,310,1.0,2248276267.0,447.0,255.0,10004484.0,2018,Lappidot,212.0
לקיה,1060,LAQYE,6,62,623.0,99.0,341.0,2.0,13394.0,5.0,,13389.0,,270,,1873558142.0,350.0,652.0,10001937.0,2018,Laqye,620.0
מאור,2055,MA'OR,3,32,324.0,14.0,,1.0,1366.0,1366.0,1348.0,,1953,310,1.0,2007970341.0,27.0,351.0,15002436.0,2018,Ma'or,
מאיר שפיה,102,ME'IR SHEFEYA,3,32,322.0,15.0,,1.0,286.0,248.0,187.0,38.0,1923,340,,1975772192.0,63.0,303.0,10004333.0,2018,Me'ir Shefeya,
מבוא ביתר,771,MEVO BETAR,1,11,111.0,26.0,444.0,1.0,952.0,952.0,947.0,,1950,320,9.0,2101162547.0,734.0,151.0,15000597.0,2018,Mevo Betar,
מבוא דותן,3569,MEVO DOTAN,7,71,,72.0,,1.0,403.0,403.0,397.0,,1978,370,11.0,2166670298.0,240.0,710.0,10003262.0,2018,Mevo Dotan,
מבוא חורון,3709,MEVO HORON,7,74,,73.0,,1.0,2650.0,2650.0,2650.0,,1970,192,,2034763956.0,230.0,711.0,10004054.0,2018,Mevo Horon,
מבוא חמה,4204,MEVO HAMMA,2,29,294.0,71.0,,1.0,434.0,434.0,424.0,,1968,330,15.0,2616873804.0,331.0,219.0,10004579.0,2018,Mevo Hamma,211.0
מבוא מודיעים,1141,MEVO MODI'IM,4,43,431.0,25.0,142.0,1.0,254.0,254.0,254.0,,1964,370,8.0,1989164897.0,190.0,424.0,10002277.0,2018,Mevo Modi'im,
מבואות ים,1318,MEVO'OT YAM,4,41,411.0,16.0,141.0,1.0,433.0,432.0,400.0,1.0,1954,340,,1878270108.0,1.0,409.0,15000060.0,2018,Mevo'ot Yam,
מבועים,1080,MABBU'IM,6,62,621.0,42.0,,1.0,1217.0,1216.0,1201.0,1.0,1958,350,,1671959544.0,160.0,651.0,10001930.0,2018,Mabbu'im,620.0
מבטחים,829,MIVTAHIM,6,62,622.0,38.0,,1.0,427.0,427.0,421.0,,1950,310,1.0,1435757236.0,118.0,651.0,10001893.0,2018,Mivtahim,620.0
מבקיעים,573,MAVQI'IM,6,61,614.0,36.0,,1.0,484.0,484.0,477.0,,1949,310,6.0,1599161459.0,48.0,633.0,10001829.0,2018,Mavqi'im,
מבשרת ציון,1015,MEVASSERET ZIYYON,1,11,111.0,99.0,444.0,1.0,23962.0,23864.0,23114.0,98.0,1951,160,,2144363412.0,583.0,152.0,10002475.0,2018,Mevasseret Ziyyon,
מג'ד אל-כרום,516,MAJD AL-KURUM,2,24,242.0,99.0,,2.0,15292.0,20.0,5.0,15272.0,,270,,2241375845.0,45.0,260.0,15002358.0,2018,Majd al-Kurum,210.0
מג'דל שמס,4201,MAJDAL SHAMS,2,29,291.0,99.0,,2.0,11044.0,,,11044.0,,270,,2721779660.0,950.0,256.0,10004579.0,2018,Majdal Shams,211.0
מגאר,481,MUGHAR,2,22,222.0,99.0,,2.0,22609.0,20.0,11.0,22589.0,,260,,2388975470.0,-5.0,251.0,10004552.0,2018,Mughar,214.0
מגדים,689,MEGADIM,3,32,321.0,15.0,223.0,1.0,1329.0,1329.0,1309.0,,1949,310,1.0,1964273727.0,5.0,303.0,10004710.0,2018,Megadim,
מגדל,65,MIGDAL,2,22,221.0,99.0,,1.0,1941.0,1892.0,1835.0,49.0,1910,350,,2475774923.0,-215.0,251.0,10004552.0,2018,Migdal,214.0
מגדל העמק,874,MIGDAL HAEMEQ,2,23,237.0,0.0,,1.0,25636.0,25628.0,22966.0,8.0,1952,160,,2231073152.0,102.0,221.0,10004411.0,2018,Migdal HaEmeq,213.0
מגדל עוז,3561,MIGDAL OZ,7,76,,76.0,445.0,1.0,574.0,574.0,573.0,,1977,330,3.0,2135961641.0,922.0,714.0,15000586.0,2018,Migdal Oz,
מגדל תפן,1722,,2,24,243.0,99.0,,,,,,,,520,,2261576449.0,439.0,255.0,10004484.0,2018,,212.0
מגדלים,3751,MIGDALIM,7,72,,72.0,,1.0,368.0,368.0,353.0,,1983,370,11.0,2324566631.0,761.0,710.0,10003262.0,2018,Migdalim,
מגידו,586,MEGIDDO,2,23,234.0,13.0,,1.0,855.0,855.0,831.0,,1949,330,15.0,2171172064.0,140.0,254.0,10004394.0,2018,Megiddo,213.0
מגל,375,MAGGAL,3,32,324.0,14.0,,1.0,1154.0,1154.0,1144.0,,1953,330,15.0,2033769910.0,59.0,351.0,15002436.0,2018,Maggal,
מגן,695,MAGEN,6,62,622.0,38.0,,1.0,537.0,527.0,488.0,10.0,1949,330,15.0,1454357893.0,109.0,651.0,10001893.0,2018,Magen,620.0
מגן שאול,1155,MAGEN SHA'UL,2,23,234.0,8.0,,1.0,667.0,667.0,539.0,,1976,310,1.0,2291471412.0,79.0,204.0,10004394.0,2018,Magen Sha'ul,213.0
מגשימים,722,MAGSHIMIM,4,42,422.0,20.0,132.0,1.0,1067.0,1065.0,1063.0,2.0,1949,310,10.0,1906066152.0,40.0,417.0,10002116.0,2018,Magshimim,
מדרך עוז,2029,MIDRAKH OZ,2,23,234.0,13.0,,1.0,775.0,775.0,755.0,,1952,310,1.0,2151572230.0,99.0,254.0,10004394.0,2018,Midrakh Oz,213.0
מדרשת בן גוריון,1140,MIDRESHET BEN GURION,6,62,626.0,48.0,,1.0,1961.0,1959.0,1870.0,2.0,1965,350,,1790952918.0,418.0,620.0,10001918.0,2018,Midreshet Ben Gurion,610.0
מדרשת רופין,897,MIDRESHET RUPPIN,4,41,411.0,16.0,141.0,1.0,306.0,168.0,163.0,138.0,1948,340,,1919269429.0,20.0,409.0,15000060.0,2018,Midreshet Ruppin,
מודיעין-מכבים-רעות*,1200,MODI'IN-MAKKABBIM-RE'UT,4,43,431.0,0.0,142.0,1.0,92406.0,92381.0,90449.0,25.0,1986,150,,2012964476.0,100.0,420.0,10002277.0,2018,Modi'in-Makkabbim-Re'ut,
מודיעין עילית,3797,MODI'IN ILLIT,7,74,,0.0,,1.0,73080.0,73080.0,73071.0,,1996,150,,2042664879.0,228.0,730.0,10004054.0,2018,Modi'in Illit,
מולדת,269,MOLEDET,2,23,233.0,8.0,,1.0,1067.0,1066.0,1058.0,1.0,1937,320,1.0,2416172136.0,44.0,204.0,10004394.0,2018,Moledet,213.0
מוצא עילית,208,MOZA ILLIT,1,11,111.0,26.0,444.0,1.0,1169.0,1168.0,1140.0,1.0,1933,350,,2150263345.0,567.0,151.0,10002475.0,2018,Moza Illit,
מוקייבלה,635,MUQEIBLE,2,23,234.0,8.0,,2.0,4030.0,3.0,3.0,4027.0,,290,,2280771334.0,80.0,204.0,10004394.0,2018,Muqeible,213.0
מורן,1163,MORAN,2,24,242.0,56.0,,1.0,458.0,454.0,445.0,4.0,1977,330,15.0,2371675853.0,274.0,205.0,10004465.0,2018,Moran,210.0
מורשת,1178,MORESHET,2,24,241.0,56.0,241.0,1.0,1455.0,1455.0,1455.0,,1981,370,11.0,2221774795.0,250.0,205.0,10004513.0,2018,Moreshet,210.0
מזור,606,MAZOR,4,42,422.0,25.0,142.0,1.0,1334.0,1334.0,1325.0,,1949,310,1.0,1931066207.0,41.0,424.0,10002116.0,2018,Mazor,
מזכרת בתיה,28,MAZKERET BATYA,4,44,441.0,99.0,143.0,1.0,14680.0,14670.0,14473.0,10.0,1883,170,,1852963987.0,53.0,453.0,10002241.0,2018,Mazkeret Batya,
"מזרח השרון מ""א 16",1879,,4,41,412.0,16.0,,,,,,,,530,,2001069530.0,,,,2018,,
"מזרח השרון מ""א 18",1880,,4,41,412.0,18.0,,,,,,,,530,,2002068950.0,,,,2018,,
מזרע,104,MIZRA,2,23,234.0,9.0,,1.0,772.0,771.0,749.0,1.0,1923,330,15.0,2271472850.0,90.0,254.0,10004394.0,2018,Mizra,213.0
מזרעה,517,MAZRA'A,2,24,245.0,99.0,241.0,2.0,3857.0,8.0,6.0,3849.0,,290,,2095476542.0,9.0,201.0,10004302.0,2018,Mazra'a,212.0
מחולה,3599,MEHOLA,7,75,,75.0,,1.0,575.0,575.0,574.0,,1968,310,2.0,2486669693.0,-191.0,712.0,10003262.0,2018,Mehola,
מחנה הילה*,1411,MAHANE HILLA,4,44,442.0,27.0,143.0,,,,,,,510,,1710064600.0,,499.0,15002488.0,2018,Mahane Hilla,
מחנה טלי*,1418,MAHANE TALI,6,62,626.0,48.0,,,,,,,,510,,1680051800.0,,699.0,10001918.0,2018,Mahane Tali,610.0
מחנה יהודית*,1413,MAHANE YEHUDIT,2,23,234.0,9.0,,,,,,,,510,,2170073000.0,,299.0,10004411.0,2018,Mahane Yehudit,213.0
מחנה יוכבד*,1416,MAHANE YOKHEVED,6,62,627.0,53.0,,,,,,,,510,,1930042700.0,,699.0,10001955.0,2018,Mahane Yokheved,
מחנה יפה*,1415,MAHANE YAFA,6,62,622.0,42.0,,,,,,,,510,,1690057000.0,,699.0,10001900.0,2018,Mahane Yafa,620.0
מחנה יתיר,1196,MAHANE YATTIR,6,62,623.0,,,1.0,248.0,248.0,248.0,,1979,350,,2057258396.0,640.0,699.0,10001937.0,2018,Mahane Yattir,
מחנה מרים*,1414,MAHANE MIRYAM,6,61,611.0,33.0,,,,,,,,510,,1740062900.0,,699.0,10001821.0,2018,Mahane Miryam,420.0
מחנה תל נוף*,1412,MAHANE TEL NOF,4,44,441.0,28.0,143.0,,,,,,,510,,1830063800.0,,499.0,15002488.0,2018,Mahane Tel Nof,420.0
מחניים,308,MAHANAYIM,2,21,213.0,1.0,,1.0,774.0,774.0,761.0,,1939,330,15.0,2536376606.0,250.0,253.0,10004540.0,2018,Mahanayim,211.0
מחסיה,776,MAHSEYA,1,11,112.0,26.0,444.0,1.0,453.0,453.0,452.0,,1950,310,2.0,2007762837.0,229.0,151.0,15000597.0,2018,Mahseya,
מטולה,43,METULA,2,21,211.0,99.0,,1.0,1599.0,1534.0,1463.0,65.0,1896,350,,2541579817.0,260.0,259.0,10004591.0,2018,Metula,211.0
מטע,822,MATTA,1,11,111.0,26.0,444.0,1.0,899.0,898.0,877.0,1.0,1950,310,1.0,2059662505.0,559.0,151.0,15000597.0,2018,Matta,
מי עמי,1128,ME AMMI,3,32,323.0,14.0,,1.0,361.0,361.0,355.0,,1963,320,6.0,2141671229.0,413.0,351.0,10004249.0,2018,Me Ammi,
מיטב,2054,METAV,2,23,234.0,8.0,,1.0,466.0,466.0,452.0,,1954,310,1.0,2285071685.0,70.0,204.0,10004394.0,2018,Metav,213.0
מייסר,649,MEISER,3,32,323.0,14.0,,2.0,1970.0,11.0,6.0,1959.0,,450,,2041670564.0,50.0,351.0,15002436.0,2018,Meiser,
מיצר,4019,MEZAR,2,29,294.0,71.0,,1.0,287.0,287.0,281.0,,1981,310,15.0,2692674150.0,350.0,219.0,10004579.0,2018,Mezar,211.0
מירב,1282,MERAV,2,23,231.0,7.0,,1.0,706.0,706.0,706.0,,1987,330,3.0,2399170654.0,344.0,202.0,10004568.0,2018,Merav,214.0
מירון,607,MERON,2,21,212.0,2.0,,1.0,963.0,963.0,962.0,,1949,310,2.0,2414776580.0,648.0,209.0,10004528.0,2018,Meron,211.0
מישר,731,MESHAR,4,44,441.0,32.0,143.0,1.0,831.0,831.0,816.0,,1950,310,10.0,1768063635.0,40.0,456.0,15002488.0,2018,Meshar,
מיתר,1268,METAR,6,62,623.0,99.0,342.0,1.0,8438.0,8333.0,8224.0,105.0,1984,180,,1940858164.0,350.0,615.0,10001937.0,2018,Metar,
מכורה,3614,MEKHORA,7,75,,75.0,,1.0,161.0,161.0,149.0,,1973,310,10.0,2401067463.0,202.0,712.0,10003262.0,2018,Mekhora,
מכחול,1343,MAKCHUL,6,62,623.0,69.0,,2.0,736.0,,,736.0,,450,,2063657760.0,470.0,624.0,10001937.0,2018,Makchul,610.0
מכמורת,382,MIKHMORET,4,41,411.0,16.0,141.0,1.0,1370.0,1370.0,1327.0,,1945,310,1.0,1883070142.0,4.0,409.0,15000060.0,2018,Mikhmoret,
מכמנים,1202,MIKHMANNIM,2,24,242.0,56.0,,1.0,533.0,512.0,478.0,21.0,1980,370,7.0,2309975686.0,424.0,205.0,10004465.0,2018,Mikhmannim,210.0
מלאה,164,MELE'A,2,23,234.0,8.0,,1.0,379.0,379.0,374.0,,1956,310,1.0,2225471884.0,64.0,204.0,10004394.0,2018,Mele'a,213.0
מלילות,2044,MELILOT,6,62,621.0,39.0,,1.0,340.0,340.0,336.0,,1953,310,2.0,1615158878.0,100.0,651.0,10001930.0,2018,Melilot,620.0
מלכייה,596,MALKIYYA,2,21,212.0,1.0,,1.0,453.0,453.0,402.0,,1949,330,15.0,2480477842.0,561.0,253.0,10004528.0,2018,Malkiyya,211.0
מלכישוע,1154,MALKISHUA,2,23,231.0,7.0,,1.0,214.0,197.0,155.0,17.0,1976,340,,2390970497.0,501.0,202.0,10004568.0,2018,Malkishua,214.0
מנוחה,2030,MENUHA,6,61,611.0,50.0,,1.0,593.0,593.0,591.0,,1953,310,1.0,1789561843.0,92.0,634.0,10001813.0,2018,Menuha,
מנוף,1174,MANOF,2,24,241.0,56.0,241.0,1.0,862.0,862.0,860.0,,1980,310,10.0,2224575096.0,349.0,205.0,10004513.0,2018,Manof,210.0
מנות,1205,MANOT,2,24,243.0,52.0,,1.0,441.0,441.0,434.0,,1980,310,1.0,2185477151.0,195.0,255.0,10004302.0,2018,Manot,212.0
מנחמיה,48,MENAHEMYA,2,23,231.0,7.0,,1.0,1032.0,1030.0,1001.0,2.0,1902,350,,2523473022.0,-240.0,202.0,10004568.0,2018,Menahemya,214.0
מנרה,347,MENARA,2,21,212.0,1.0,,1.0,246.0,246.0,225.0,,1943,330,15.0,2511778903.0,802.0,253.0,10004591.0,2018,Menara,211.0
מנשית זבדה,994,MANSHIYYET ZABDA,2,25,237.0,9.0,,2.0,1325.0,,,1325.0,,450,,2184473467.0,80.0,254.0,10004411.0,2018,Manshiyyet Zabda,213.0
מסד,1258,MASSAD,2,22,222.0,3.0,,1.0,376.0,374.0,364.0,2.0,1983,370,13.0,2398774991.0,211.0,206.0,10004552.0,2018,Massad,214.0
מסדה,263,MASSADA,2,22,221.0,6.0,,1.0,370.0,366.0,352.0,4.0,1937,330,15.0,2563973220.0,-201.0,214.0,10004552.0,2018,Massada,214.0
מסילות,298,MESILLOT,2,23,231.0,7.0,,1.0,430.0,430.0,416.0,,1938,330,15.0,2448071130.0,-115.0,202.0,10004568.0,2018,Mesillot,214.0
מסילת ציון,742,MESILLAT ZIYYON,1,11,112.0,26.0,444.0,1.0,1248.0,1243.0,1213.0,5.0,1950,310,1.0,2011563441.0,269.0,151.0,15000597.0,2018,Mesillat Ziyyon,
מסלול,748,MASLUL,6,62,622.0,42.0,344.0,1.0,860.0,860.0,852.0,,1950,310,1.0,1609258156.0,103.0,651.0,10001893.0,2018,Maslul,620.0
מסעדה,4203,MAS'ADE,2,29,292.0,99.0,,2.0,3650.0,,,3650.0,,290,,2709879298.0,810.0,256.0,10004579.0,2018,Mas'ade,211.0
מסעודין אל-עזאזמה (שבט),939,MAS'UDIN AL-'AZAZME,6,62,623.0,,,3.0,,,,,,460,,1823056730.0,,699.0,15003711.0,2018,Mas'udin al 'Azazma,
מעברות,197,MA'BAROT,4,41,411.0,16.0,141.0,1.0,979.0,979.0,964.0,,1933,330,15.0,1912669668.0,7.0,409.0,15000060.0,2018,Ma'barot,
מעגלים,1082,MA'GALIM,6,62,621.0,39.0,,1.0,2059.0,2059.0,2059.0,,1958,190,,1618358958.0,119.0,651.0,10001930.0,2018,Ma'galim,620.0
מעגן,678,MA'AGAN,2,22,221.0,6.0,,1.0,374.0,374.0,357.0,,1949,330,15.0,2565473473.0,-211.0,214.0,10004552.0,2018,Ma'agan,214.0
מעגן מיכאל,694,MA'AGAN MIKHA'EL,3,32,321.0,15.0,,1.0,1992.0,1992.0,1906.0,,1949,330,15.0,1923671802.0,6.0,303.0,10004333.0,2018,Ma'agan Mikha'el,
מעוז חיים,272,MA'OZ HAYYIM,2,23,231.0,7.0,,1.0,479.0,479.0,472.0,,1937,330,15.0,2519671104.0,-249.0,202.0,10004568.0,2018,Ma'oz Hayyim,214.0
מעון,3657,MA'ON,7,77,,78.0,,1.0,575.0,575.0,575.0,,1981,320,11.0,2155959130.0,744.0,715.0,15003512.0,2018,Ma'on,
מעונה,570,ME'ONA,2,24,243.0,52.0,,1.0,963.0,958.0,942.0,5.0,1949,310,1.0,2247376901.0,437.0,255.0,10004484.0,2018,Me'ona,212.0
מעיין ברוך,416,MA'YAN BARUKH,2,21,211.0,1.0,,1.0,745.0,745.0,737.0,,1947,330,15.0,2569979388.0,166.0,253.0,10004591.0,2018,Ma'yan Barukh,211.0
מעיין צבי,290,MA'YAN ZEVI,3,32,322.0,15.0,,1.0,727.0,727.0,720.0,,1938,330,15.0,1946771935.0,71.0,303.0,10004333.0,2018,Ma'yan Zevi,
מעיליא,518,MI'ELYA,2,24,243.0,99.0,,2.0,3255.0,105.0,93.0,3150.0,,290,,2244077019.0,437.0,258.0,10004484.0,2018,Mi'elya,212.0
מעלה אדומים,3616,MA'ALE ADUMMIM,7,76,,0.0,445.0,1.0,38193.0,38129.0,36841.0,64.0,1975,160,,2291263194.0,79.0,706.0,10003314.0,2018,Ma'ale Adummim,
מעלה אפרים,3608,MA'ALE EFRAYIM,7,75,,99.0,,1.0,1241.0,1238.0,1117.0,3.0,1970,350,,2382866422.0,-72.0,707.0,10003262.0,2018,Ma'ale Efrayim,
מעלה גלבוע,1127,MA'ALE GILBOA,2,23,231.0,7.0,,1.0,806.0,806.0,806.0,,1962,330,3.0,2396070922.0,396.0,202.0,10004568.0,2018,Ma'ale Gilboa,214.0
מעלה גמלא,4008,MA'ALE GAMLA,2,29,293.0,71.0,,1.0,515.0,515.0,500.0,,1976,310,1.0,2643975504.0,42.0,219.0,10004579.0,2018,Ma'ale Gamla,211.0
מעלה החמישה,286,MA'ALE HAHAMISHA,1,11,111.0,26.0,444.0,1.0,769.0,767.0,753.0,2.0,1938,330,15.0,2105663611.0,743.0,151.0,10002475.0,2018,Ma'ale HaHamisha,
מעלה לבונה,3752,MA'ALE LEVONA,7,74,,73.0,,1.0,866.0,866.0,865.0,,1983,370,11.0,2228166239.0,664.0,711.0,10003299.0,2018,Ma'ale Levona,
מעלה מכמש,3651,MA'ALE MIKHMAS,7,74,,73.0,445.0,1.0,1463.0,1463.0,1461.0,,1981,370,11.0,2290864285.0,529.0,711.0,10003299.0,2018,Ma'ale Mikhmas,
מעלה עירון,1327,MA'ALE IRON,3,32,323.0,99.0,,2.0,14833.0,7.0,3.0,14826.0,,270,,2148871748.0,120.0,354.0,10004249.0,2018,Ma'ale Iron,
