סמל יישוב,יישוב מחושב,תאור קבוצה סטטיסטית,שנת הודעה,Total,2019,2018,2017,2016,2015,2014
182.0,אבן יהודה,עבירות כלפי הרכוש,,1474,174,169,255,273,294,309
182.0,אבן יהודה,עבירות מין,,38,1,3,7,9,11,7
182.0,אבן יהודה,עבירות מנהליות,,2,-,1,-,-,1,-
182.0,אבן יהודה,עבירות מרמה,,75,13,15,8,16,18,5
182.0,אבן יהודה,עבירות נגד אדם,,2,-,-,-,2,-,-
182.0,אבן יהודה,עבירות נגד גוף,,278,32,28,45,47,52,74
182.0,אבן יהודה,עבירות סדר ציבורי,,606,83,70,108,98,135,112
182.0,אבן יהודה,עבירות רשוי,,3,1,-,1,-,-,1
182.0,אבן יהודה,עבירות תנועה,,6,-,1,3,-,1,1
182.0,אבן יהודה,שאר עבירות,,2,1,-,1,-,-,-
2710.0,אום אל פחם,Total,,7800,1459,1506,1160,1015,1308,1352
2710.0,אום אל פחם,-,,5,2,-,-,3,-,-
2710.0,אום אל פחם,לא ידוע,,1,-,-,-,-,1,-
2710.0,אום אל פחם,סעיפי הגדרה,,6,-,3,2,1,-,-
2710.0,אום אל פחם,עבירות בטחון,,742,150,161,110,87,118,116
2710.0,אום אל פחם,עבירות כלכליות,,22,1,7,4,6,3,1
2710.0,אום אל פחם,עבירות כלפי המוסר,,635,75,187,104,74,92,103
2710.0,אום אל פחם,עבירות כלפי הרכוש,,2583,416,418,449,425,445,430
2710.0,אום אל פחם,עבירות מין,,40,5,5,7,6,9,8
2710.0,אום אל פחם,עבירות מנהליות,,2,-,1,-,1,-,-
2710.0,אום אל פחם,עבירות מרמה,,314,79,47,62,34,56,36
2710.0,אום אל פחם,עבירות נגד אדם,,45,10,17,6,6,2,4
2710.0,אום אל פחם,עבירות נגד גוף,,1501,298,267,194,172,287,283
2710.0,אום אל פחם,עבירות סדר ציבורי,,4036,758,809,603,514,652,700
2710.0,אום אל פחם,עבירות רשוי,,33,5,1,3,5,6,13
2710.0,אום אל פחם,עבירות תנועה,,63,5,16,13,11,12,6
2710.0,אום אל פחם,שאר עבירות,,3,-,-,-,1,1,1
31.0,אופקים,Total,,5771,906,1066,979,949,959,912
31.0,אופקים,-,,3,2,-,-,-,1,-
31.0,אופקים,סעיפי הגדרה,,8,-,1,-,1,4,2
31.0,אופקים,עבירות בטחון,,52,7,9,8,12,6,10
31.0,אופקים,עבירות כלכליות,,13,5,4,-,2,2,-
31.0,אופקים,עבירות כלפי המוסר,,707,112,158,118,101,117,101
31.0,אופקים,עבירות כלפי הרכוש,,2058,313,327,363,375,362,318
31.0,אופקים,עבירות מין,,149,19,27,33,20,26,24
31.0,אופקים,עבירות מנהליות,,1,-,-,1,-,-,-
31.0,אופקים,עבירות מרמה,,204,37,28,28,41,34,36
31.0,אופקים,עבירות נגד אדם,,14,3,4,1,1,2,3
31.0,אופקים,עבירות נגד גוף,,1334,216,267,219,204,221,207
31.0,אופקים,עבירות סדר ציבורי,,2630,434,520,454,404,412,406
31.0,אופקים,עבירות רשוי,,70,13,10,7,16,16,8
31.0,אופקים,עבירות תנועה,,38,2,12,7,7,6,4
31.0,אופקים,שאר עבירות,,8,1,3,1,1,1,1
2400.0,אור יהודה,Total,,8160,1202,1389,1363,1350,1350,1506
2400.0,אור יהודה,-,,23,4,3,10,1,1,4
2400.0,אור יהודה,סעיפי הגדרה,,11,1,1,2,-,4,3
2400.0,אור יהודה,עבירות בטחון,,48,9,9,14,3,2,11
2400.0,אור יהודה,עבירות כלכליות,,19,3,3,1,3,4,5
2400.0,אור יהודה,עבירות כלפי המוסר,,617,122,150,115,56,92,82
2400.0,אור יהודה,עבירות כלפי הרכוש,,3202,417,485,553,544,559,644
2400.0,אור יהודה,עבירות מין,,177,33,41,25,29,24,25
2400.0,אור יהודה,עבירות מנהליות,,1,-,1,-,-,-,-
2400.0,אור יהודה,עבירות מרמה,,412,70,64,61,74,52,91
2400.0,אור יהודה,עבירות נגד אדם,,9,2,1,1,3,2,-
2400.0,אור יהודה,עבירות נגד גוף,,1807,308,305,296,312,272,314
2400.0,אור יהודה,עבירות סדר ציבורי,,3558,511,626,595,606,611,609
2400.0,אור יהודה,עבירות רשוי,,32,9,6,8,1,5,3
2400.0,אור יהודה,עבירות תנועה,,21,1,4,3,3,5,5
2400.0,אור יהודה,שאר עבירות,,5,-,-,1,1,2,1
1020.0,אור עקיבא,Total,,4317,720,770,790,673,678,686
1020.0,אור עקיבא,-,,2,1,-,-,1,-,-
1020.0,אור עקיבא,עבירות בטחון,,32,2,5,9,6,4,6
1020.0,אור עקיבא,עבירות כלכליות,,5,-,1,-,1,2,1
1020.0,אור עקיבא,עבירות כלפי המוסר,,642,104,119,156,104,115,44
1020.0,אור עקיבא,עבירות כלפי הרכוש,,1851,291,324,326,291,298,321
1020.0,אור עקיבא,עבירות מין,,52,9,5,6,9,13,10
1020.0,אור עקיבא,עבירות מרמה,,127,26,19,24,14,17,27
1020.0,אור עקיבא,עבירות נגד אדם,,4,1,-,-,-,1,2
1020.0,אור עקיבא,עבירות נגד גוף,,867,164,179,127,139,125,133
1020.0,אור עקיבא,עבירות סדר ציבורי,,1520,275,287,269,233,207,249
1020.0,אור עקיבא,עבירות רשוי,,12,-,1,2,-,6,3
1020.0,אור עקיבא,עבירות תנועה,,6,-,1,1,2,2,-
3760.0,אורנית,Total,,1354,123,207,212,218,281,313
3760.0,אורנית,-,,4,1,3,-,-,-,-
3760.0,אורנית,עבירות בטחון,,330,8,21,42,53,99,107
3760.0,אורנית,עבירות כלפי המוסר,,140,11,35,18,20,31,25
3760.0,אורנית,עבירות כלפי הרכוש,,369,56,73,45,53,54,88
3760.0,אורנית,עבירות מין,,18,3,4,2,2,1,6
3760.0,אורנית,עבירות מרמה,,58,4,2,13,10,10,19
3760.0,אורנית,עבירות נגד אדם,,3,-,-,1,1,1,-
3760.0,אורנית,עבירות נגד גוף,,184,24,35,42,32,27,24
3760.0,אורנית,עבירות סדר ציבורי,,462,29,68,86,80,91,108
3760.0,אורנית,עבירות רשוי,,3,-,1,-,-,-,2
3760.0,אורנית,עבירות תנועה,,13,1,4,6,-,-,2
3760.0,אורנית,שאר עבירות,,3,-,-,-,-,2,1
565.0,אזור,Total,,2356,375,350,364,384,464,419
565.0,אזור,-,,1,1,-,-,-,-,-
565.0,אזור,סעיפי הגדרה,,4,-,1,-,3,-,-
565.0,אזור,עבירות בטחון,,16,3,3,1,4,-,5
565.0,אזור,עבירות כלכליות,,6,1,1,1,3,-,-
565.0,אזור,עבירות כלפי המוסר,,118,28,20,14,26,10,20
565.0,אזור,עבירות כלפי הרכוש,,1068,170,129,169,166,218,216
565.0,אזור,עבירות מין,,38,11,6,6,4,4,7
565.0,אזור,עבירות מנהליות,,1,1,-,-,-,-,-
565.0,אזור,עבירות מרמה,,184,35,44,20,26,43,16
565.0,אזור,עבירות נגד אדם,,2,1,1,-,-,-,-
565.0,אזור,עבירות נגד גוף,,496,74,87,85,88,86,76
565.0,אזור,עבירות סדר ציבורי,,908,126,137,136,149,191,169
565.0,אזור,עבירות רשוי,,8,2,3,-,1,1,1
565.0,אזור,עבירות תנועה,,8,2,1,-,-,4,1
565.0,אזור,שאר עבירות,,2,-,-,-,2,-,-
-1.0,אחר,Total,,76434,16252,13109,12290,11026,11689,12068
-1.0,אחר,-,,27,12,5,2,5,2,1
-1.0,אחר,סעיפי הגדרה,,79,28,10,14,5,10,12
-1.0,אחר,עבירות בטחון,,35191,4588,5143,5679,5579,6733,7469
-1.0,אחר,עבירות כלכליות,,796,176,148,128,109,106,129
-1.0,אחר,עבירות כלפי המוסר,,6325,1545,1515,1128,960,644,533
-1.0,אחר,עבירות כלפי הרכוש,,15861,4539,3053,2459,2032,1956,1822
-1.0,אחר,עבירות מין,,509,169,80,97,50,50,63
-1.0,אחר,עבירות מנהליות,,57,30,13,3,-,8,3
-1.0,אחר,עבירות מרמה,,3181,711,438,501,442,495,594
-1.0,אחר,עבירות נגד אדם,,941,156,137,130,186,232,100
-1.0,אחר,עבירות נגד גוף,,6226,1814,1134,921,759,818,780
-1.0,אחר,עבירות סדר ציבורי,,21955,6742,4209,3324,2782,2495,2403
-1.0,אחר,עבירות רשוי,,682,133,52,112,148,97,140
-1.0,אחר,עבירות תנועה,,881,248,167,120,113,129,104
-1.0,אחר,שאר עבירות,,635,138,108,125,80,68,116
2600.0,אילת,Total,,33612,4681,5410,5459,6027,5972,6063
2600.0,אילת,-,,20,3,3,1,3,5,5
2600.0,אילת,סעיפי הגדרה,,25,4,3,2,3,7,6
2600.0,אילת,עבירות בטחון,,179,16,14,32,34,35,48
2600.0,אילת,עבירות כלכליות,,87,12,15,16,22,7,15
2600.0,אילת,עבירות כלפי המוסר,,5737,671,1101,979,935,1096,955
2600.0,אילת,עבירות כלפי הרכוש,,12418,1816,2044,2039,2184,2075,2260
2600.0,אילת,עבירות מין,,678,122,120,115,117,102,102
2600.0,אילת,עבירות מנהליות,,8,5,-,1,1,1,-
2600.0,אילת,עבירות מרמה,,1190,179,170,179,208,215,239
2600.0,אילת,עבירות נגד אדם,,36,8,5,6,5,6,6
2600.0,אילת,עבירות נגד גוף,,7814,1239,1234,1285,1443,1294,1319
2600.0,אילת,עבירות סדר ציבורי,,12968,1824,1964,2013,2389,2414,2364
2600.0,אילת,עבירות רשוי,,171,21,7,25,17,48,53
2600.0,אילת,עבירות תנועה,,127,27,33,23,10,13,21
2600.0,אילת,שאר עבירות,,13,2,2,1,3,1,4
478.0,אכסאל,Total,,1727,350,344,292,217,259,265
478.0,אכסאל,-,,1,-,-,1,-,-,-
478.0,אכסאל,עבירות בטחון,,68,19,19,6,7,3,14
478.0,אכסאל,עבירות כלכליות,,3,1,1,-,-,1,-
478.0,אכסאל,עבירות כלפי המוסר,,128,19,35,18,15,16,25
478.0,אכסאל,עבירות כלפי הרכוש,,555,113,104,87,73,83,95
478.0,אכסאל,עבירות מין,,7,1,-,2,1,-,3
478.0,אכסאל,עבירות מנהליות,,1,-,1,-,-,-,-
478.0,אכסאל,עבירות מרמה,,66,18,8,17,5,10,8
478.0,אכסאל,עבירות נגד אדם,,6,-,1,-,1,1,3
478.0,אכסאל,עבירות נגד גוף,,412,92,68,71,47,69,65
478.0,אכסאל,עבירות סדר ציבורי,,856,179,185,147,109,121,115
478.0,אכסאל,עבירות רשוי,,12,2,2,4,1,-,3
478.0,אכסאל,עבירות תנועה,,14,1,3,2,3,-,5
41.0,אליכין,Total,,428,66,58,63,73,81,87
41.0,אליכין,עבירות בטחון,,2,-,1,-,-,-,1
41.0,אליכין,עבירות כלפי המוסר,,39,11,8,4,5,10,1
41.0,אליכין,עבירות כלפי הרכוש,,244,33,24,44,53,37,53
41.0,אליכין,עבירות מין,,7,2,2,-,-,2,1
41.0,אליכין,עבירות מרמה,,3,-,-,1,1,1,-
41.0,אליכין,עבירות נגד גוף,,68,8,13,7,6,16,18
41.0,אליכין,עבירות סדר ציבורי,,119,20,21,14,13,24,27
41.0,אליכין,עבירות רשוי,,2,-,1,1,-,-,-
41.0,אליכין,עבירות תנועה,,3,2,-,-,1,-,-
1309.0,אלעד,Total,,4196,647,657,696,822,741,633
1309.0,אלעד,-,,24,5,2,4,5,6,2
1309.0,אלעד,סעיפי הגדרה,,13,-,1,1,2,2,7
1309.0,אלעד,עבירות בטחון,,24,3,1,5,7,7,1
1309.0,אלעד,עבירות כלכליות,,5,1,-,-,3,-,1
1309.0,אלעד,עבירות כלפי המוסר,,393,78,62,48,93,62,50
1309.0,אלעד,עבירות כלפי הרכוש,,1403,230,235,248,251,250,189
1309.0,אלעד,עבירות מין,,242,30,43,34,51,37,47
1309.0,אלעד,עבירות מנהליות,,2,-,2,-,-,-,-
1309.0,אלעד,עבירות מרמה,,115,18,16,16,26,17,22
1309.0,אלעד,עבירות נגד אדם,,6,2,2,-,2,-,-
1309.0,אלעד,עבירות נגד גוף,,1048,160,181,157,220,190,140
1309.0,אלעד,עבירות סדר ציבורי,,1765,263,249,306,342,312,293
1309.0,אלעד,עבירות רשוי,,32,3,8,13,5,2,1
1309.0,אלעד,עבירות תנועה,,20,4,2,1,1,6,6
3750.0,אלפי מנשה,Total,,726,80,123,136,137,118,132
3750.0,אלפי מנשה,-,,2,-,2,-,-,-,-
3750.0,אלפי מנשה,עבירות בטחון,,63,4,9,14,6,12,18
3750.0,אלפי מנשה,עבירות כלכליות,,1,-,1,-,-,-,-
3750.0,אלפי מנשה,עבירות כלפי המוסר,,74,4,15,15,23,7,10
3750.0,אלפי מנשה,עבירות כלפי הרכוש,,259,44,48,38,45,40,44
3750.0,אלפי מנשה,עבירות מין,,22,4,5,4,6,-,3
3750.0,אלפי מנשה,עבירות מרמה,,46,2,7,11,7,12,7
3750.0,אלפי מנשה,עבירות נגד אדם,,2,-,-,-,2,-,-
3750.0,אלפי מנשה,עבירות נגד גוף,,124,13,15,17,24,32,23
3750.0,אלפי מנשה,עבירות סדר ציבורי,,302,24,45,62,52,55,64
3750.0,אלפי מנשה,עבירות רשוי,,3,-,-,1,1,-,1
3750.0,אלפי מנשה,עבירות תנועה,,5,-,-,1,2,1,1
3750.0,אלפי מנשה,שאר עבירות,,1,-,1,-,-,-,-
3560.0,אלקנה,Total,,191,14,28,43,40,30,36
3560.0,אלקנה,עבירות בטחון,,20,1,3,3,9,2,2
3560.0,אלקנה,עבירות כלפי המוסר,,5,-,-,2,1,1,1
3560.0,אלקנה,עבירות כלפי הרכוש,,74,4,10,18,10,17,15
3560.0,אלקנה,עבירות מין,,11,-,4,1,2,2,2
3560.0,אלקנה,עבירות מרמה,,7,-,2,-,3,2,-
3560.0,אלקנה,עבירות נגד גוף,,45,6,5,10,9,5,10
3560.0,אלקנה,עבירות סדר ציבורי,,75,8,8,20,13,10,16
529.0,אעבלין,Total,,2107,395,383,368,378,320,263
529.0,אעבלין,-,,6,1,-,1,3,1,-
529.0,אעבלין,סעיפי הגדרה,,4,2,-,1,-,-,1
529.0,אעבלין,עבירות בטחון,,138,43,22,19,24,17,13
529.0,אעבלין,עבירות כלכליות,,1,-,-,-,-,-,1
529.0,אעבלין,עבירות כלפי המוסר,,242,46,71,70,17,22,16
529.0,אעבלין,עבירות כלפי הרכוש,,456,86,83,64,61,82,80
529.0,אעבלין,עבירות מין,,25,3,3,5,3,7,4
529.0,אעבלין,עבירות מרמה,,114,14,4,25,51,8,12
529.0,אעבלין,עבירות נגד אדם,,13,1,6,1,3,1,1
529.0,אעבלין,עבירות נגד גוף,,437,77,80,66,70,85,59
529.0,אעבלין,עבירות סדר ציבורי,,1111,210,201,182,221,159,138
529.0,אעבלין,עבירות רשוי,,18,6,8,2,1,1,-
529.0,אעבלין,עבירות תנועה,,20,4,8,-,1,4,3
3650.0,אפרת,Total,,574,121,107,110,97,77,62
3650.0,אפרת,-,,1,-,1,-,-,-,-
3650.0,אפרת,עבירות בטחון,,53,10,12,18,7,1,5
3650.0,אפרת,עבירות כלפי המוסר,,66,13,24,9,4,12,4
3650.0,אפרת,עבירות כלפי הרכוש,,222,54,30,45,39,34,20
3650.0,אפרת,עבירות מין,,22,2,5,6,2,3,4
3650.0,אפרת,עבירות מרמה,,44,1,4,8,23,4,4
3650.0,אפרת,עבירות נגד אדם,,4,-,1,1,2,-,-
3650.0,אפרת,עבירות נגד גוף,,97,22,20,16,16,10,13
3650.0,אפרת,עבירות סדר ציבורי,,157,38,23,23,25,24,24
3650.0,אפרת,עבירות רשוי,,2,-,1,1,-,-,-
3650.0,אפרת,עבירות תנועה,,2,-,1,-,-,-,1
3650.0,אפרת,שאר עבירות,,4,-,1,1,2,-,-
3570.0,אריאל,Total,,3531,531,608,650,571,535,636
3570.0,אריאל,-,,10,3,2,-,-,-,5
3570.0,אריאל,סעיפי הגדרה,,6,-,1,-,-,5,-
3570.0,אריאל,עבירות בטחון,,265,23,28,41,39,46,88
3570.0,אריאל,עבירות כלכליות,,5,-,3,-,-,-,2
3570.0,אריאל,עבירות כלפי המוסר,,533,49,115,165,107,62,35
3570.0,אריאל,עבירות כלפי הרכוש,,1137,184,213,175,169,165,231
3570.0,אריאל,עבירות מין,,99,19,24,16,12,15,13
3570.0,אריאל,עבירות מנהליות,,1,1,-,-,-,-,-
3570.0,אריאל,עבירות מרמה,,148,27,10,21,18,39,33
3570.0,אריאל,עבירות נגד אדם,,10,-,4,1,4,1,-
3570.0,אריאל,עבירות נגד גוף,,703,122,130,118,117,101,115
3570.0,אריאל,עבירות סדר ציבורי,,1291,220,192,229,202,215,233
3570.0,אריאל,עבירות רשוי,,4,-,-,-,1,1,2
3570.0,אריאל,עבירות תנועה,,10,-,1,1,2,2,4
3570.0,אריאל,שאר עבירות,,2,-,-,-,1,-,1
70.0,אשדוד,Total,,43565,7347,7118,6714,7119,7533,7734
70.0,אשדוד,-,,54,17,5,4,10,7,11
70.0,אשדוד,לא ידוע,,1,-,-,-,-,1,-
70.0,אשדוד,סעיפי הגדרה,,81,3,11,7,19,17,24
70.0,אשדוד,עבירות בטחון,,228,62,29,40,31,37,29
70.0,אשדוד,עבירות כלכליות,,115,18,15,13,16,21,32
70.0,אשדוד,עבירות כלפי המוסר,,2784,420,432,278,503,606,545
70.0,אשדוד,עבירות כלפי הרכוש,,19396,2883,2983,3139,3364,3572,3455
70.0,אשדוד,עבירות מין,,888,203,164,139,123,135,124
70.0,אשדוד,עבירות מנהליות,,6,2,2,-,-,1,1
70.0,אשדוד,עבירות מרמה,,2849,614,570,415,399,397,454
70.0,אשדוד,עבירות נגד אדם,,95,18,11,23,10,21,12
70.0,אשדוד,עבירות נגד גוף,,9735,1930,1705,1596,1512,1449,1543
70.0,אשדוד,עבירות סדר ציבורי,,16694,3084,2896,2559,2633,2660,2862
70.0,אשדוד,עבירות רשוי,,274,61,48,37,29,53,46
70.0,אשדוד,עבירות תנועה,,190,28,39,24,40,28,31
70.0,אשדוד,שאר עבירות,,5,-,-,1,-,2,2
7100.0,אשקלון,Total,,38024,5877,5987,5869,6770,7223,6298
7100.0,אשקלון,-,,49,18,6,3,5,6,11
7100.0,אשקלון,סעיפי הגדרה,,60,5,8,5,8,21,13
7100.0,אשקלון,עבירות בטחון,,215,40,40,46,22,28,39
7100.0,אשקלון,עבירות כלכליות,,87,12,9,11,7,28,20
7100.0,אשקלון,עבירות כלפי המוסר,,2178,522,467,352,215,290,332
7100.0,אשקלון,עבירות כלפי הרכוש,,17122,2385,2582,2759,3292,3334,2770
7100.0,אשקלון,עבירות מין,,721,108,137,168,119,100,89
7100.0,אשקלון,עבירות מנהליות,,38,10,12,6,3,4,3
7100.0,אשקלון,עבירות מרמה,,1675,239,248,247,300,322,319
7100.0,אשקלון,עבירות נגד אדם,,61,21,10,12,5,6,7
7100.0,אשקלון,עבירות נגד גוף,,8794,1414,1327,1391,1728,1634,1300
7100.0,אשקלון,עבירות סדר ציבורי,,14622,2346,2330,2165,2513,2778,2490
7100.0,אשקלון,עבירות רשוי,,342,101,53,12,40,69,67
7100.0,אשקלון,עבירות תנועה,,139,19,25,15,20,35,25
7100.0,אשקלון,שאר עבירות,,10,1,-,-,1,2,6
6000.0,באקה אל ע'רביה,Total,,4656,970,856,693,667,766,704
6000.0,באקה אל ע'רביה,-,,4,2,-,-,2,-,-
6000.0,באקה אל ע'רביה,סעיפי הגדרה,,1,-,-,-,1,-,-
6000.0,באקה אל ע'רביה,עבירות בטחון,,161,36,25,26,19,23,32
6000.0,באקה אל ע'רביה,עבירות כלכליות,,9,4,3,1,1,-,-
6000.0,באקה אל ע'רביה,עבירות כלפי המוסר,,633,132,129,84,77,144,67
6000.0,באקה אל ע'רביה,עבירות כלפי הרכוש,,1480,273,242,243,230,254,238
6000.0,באקה אל ע'רביה,עבירות מין,,36,12,8,2,2,4,8
6000.0,באקה אל ע'רביה,עבירות מרמה,,214,61,35,26,26,33,33
6000.0,באקה אל ע'רביה,עבירות נגד אדם,,20,5,4,5,2,3,1
6000.0,באקה אל ע'רביה,עבירות נגד גוף,,978,168,159,156,186,154,155
6000.0,באקה אל ע'רביה,עבירות סדר ציבורי,,2316,517,431,332,312,353,371
6000.0,באקה אל ע'רביה,עבירות רשוי,,20,-,-,-,4,10,6
6000.0,באקה אל ע'רביה,עבירות תנועה,,23,7,6,5,1,3,1
6000.0,באקה אל ע'רביה,שאר עבירות,,1,-,-,-,-,-,1
2530.0,באר יעקב,Total,,4438,531,808,861,681,816,741
2530.0,באר יעקב,-,,8,-,1,4,1,2,-
2530.0,באר יעקב,סעיפי הגדרה,,12,-,1,2,-,9,-
2530.0,באר יעקב,עבירות בטחון,,32,5,5,4,4,5,9
2530.0,באר יעקב,עבירות כלכליות,,11,3,1,-,-,3,4
2530.0,באר יעקב,עבירות כלפי המוסר,,323,43,58,42,50,71,59
2530.0,באר יעקב,עבירות כלפי הרכוש,,2158,247,371,430,352,407,351
2530.0,באר יעקב,עבירות מין,,62,7,16,9,12,7,11
2530.0,באר יעקב,עבירות מרמה,,162,32,27,21,23,24,35
2530.0,באר יעקב,עבירות נגד אדם,,7,3,1,-,2,-,1
2530.0,באר יעקב,עבירות נגד גוף,,800,110,153,149,126,130,132
2530.0,באר יעקב,עבירות סדר ציבורי,,1643,179,324,328,250,292,270
2530.0,באר יעקב,עבירות רשוי,,16,4,7,-,2,1,2
2530.0,באר יעקב,עבירות תנועה,,16,5,2,4,2,2,1
2530.0,באר יעקב,שאר עבירות,,1,-,-,-,-,-,1
9000.0,באר שבע,Total,,77458,12808,12486,13277,12867,12736,13284
9000.0,באר שבע,-,,21,2,7,5,5,1,1
9000.0,באר שבע,סעיפי הגדרה,,37,1,1,10,11,3,11
9000.0,באר שבע,עבירות בטחון,,565,54,89,112,74,106,130
9000.0,באר שבע,עבירות כלכליות,,186,20,22,24,29,60,31
9000.0,באר שבע,עבירות כלפי המוסר,,4103,718,714,588,633,623,827
9000.0,באר שבע,עבירות כלפי הרכוש,,38168,6499,6230,6723,6752,6170,5794
9000.0,באר שבע,עבירות מין,,1695,364,339,281,238,243,230
9000.0,באר שבע,עבירות מנהליות,,68,8,7,22,12,15,4
9000.0,באר שבע,עבירות מרמה,,3552,535,441,588,587,632,769
9000.0,באר שבע,עבירות נגד אדם,,153,25,25,30,30,20,23
9000.0,באר שבע,עבירות נגד גוף,,13978,2320,2242,2437,2340,2353,2286
9000.0,באר שבע,עבירות סדר ציבורי,,28448,4612,4578,4643,4429,4730,5456
9000.0,באר שבע,עבירות רשוי,,400,57,63,90,45,45,100
9000.0,באר שבע,עבירות תנועה,,432,73,91,66,56,87,59
9000.0,באר שבע,שאר עבירות,,43,1,17,1,1,6,17
482.0,בועיינה נוג'יידאת,Total,,1115,185,208,186,193,149,194
482.0,בועיינה נוג'יידאת,-,,6,2,1,-,2,-,1
482.0,בועיינה נוג'יידאת,סעיפי הגדרה,,2,-,-,-,1,-,1
482.0,בועיינה נוג'יידאת,עבירות בטחון,,24,5,5,8,3,-,3
482.0,בועיינה נוג'יידאת,עבירות כלכליות,,1,1,-,-,-,-,-
482.0,בועיינה נוג'יידאת,עבירות כלפי המוסר,,60,13,16,18,6,2,5
482.0,בועיינה נוג'יידאת,עבירות כלפי הרכוש,,292,47,51,49,42,48,55
482.0,בועיינה נוג'יידאת,עבירות מין,,16,-,5,2,3,2,4
482.0,בועיינה נוג'יידאת,עבירות מרמה,,28,4,4,5,3,4,8
482.0,בועיינה נוג'יידאת,עבירות נגד אדם,,5,1,3,-,-,-,1
482.0,בועיינה נוג'יידאת,עבירות נגד גוף,,426,69,76,60,69,60,92
482.0,בועיינה נוג'יידאת,עבירות סדר ציבורי,,598,106,117,97,106,78,94
482.0,בועיינה נוג'יידאת,עבירות רשוי,,3,-,-,-,2,-,1
482.0,בועיינה נוג'יידאת,עבירות תנועה,,3,-,-,1,1,1,-
4001.0,בוקעתא,Total,,590,101,109,122,94,97,67
4001.0,בוקעתא,-,,1,1,-,-,-,-,-
4001.0,בוקעתא,עבירות בטחון,,12,2,1,3,1,-,5
4001.0,בוקעתא,עבירות כלכליות,,2,1,-,-,-,1,-
4001.0,בוקעתא,עבירות כלפי המוסר,,186,36,34,50,24,35,7
4001.0,בוקעתא,עבירות כלפי הרכוש,,111,15,23,19,22,18,14
4001.0,בוקעתא,עבירות מין,,5,1,-,1,1,1,1
4001.0,בוקעתא,עבירות מרמה,,26,6,4,5,5,1,5
4001.0,בוקעתא,עבירות נגד אדם,,2,-,-,1,-,-,1
4001.0,בוקעתא,עבירות נגד גוף,,121,21,21,20,21,25,13
4001.0,בוקעתא,עבירות סדר ציבורי,,241,32,52,47,40,35,35
4001.0,בוקעתא,עבירות רשוי,,6,-,-,2,3,1,-
4001.0,בוקעתא,עבירות תנועה,,16,3,-,7,1,5,-
4001.0,בוקעתא,שאר עבירות,,1,-,-,-,1,-,-
483.0,ביענה,Total,,1457,246,257,248,206,242,258
483.0,ביענה,סעיפי הגדרה,,1,-,-,-,1,-,-
483.0,ביענה,עבירות בטחון,,143,26,24,25,12,21,35
483.0,ביענה,עבירות כלכליות,,5,3,1,-,-,-,1
483.0,ביענה,עבירות כלפי המוסר,,189,27,23,29,29,55,26
